oregon 	18E03S 
oregon 	18D04S 
oregon 	18G02S 
oregon 	22G14S 
oregon 	22G12S 
oregon 	21G04S 
oregon 	18E08S 
oregon 	21D01S 
oregon 	18D19S 
oregon 	21E06S 
oregon 	22F42S 
oregon 	22G26S 
oregon 	21F21S 
oregon 	22E07S 
oregon 	23G09S 
oregon 	18E18S 
oregon 	22E09S 
oregon 	18D06S 
oregon 	19D03S 
oregon 	21E04S 
oregon 	21E07S 
oregon 	17D20S 
oregon 	23D03S 
oregon 	17D06S 
oregon 	21D08S 
oregon 	17D18S 
oregon 	21D35S 
oregon 	21F10S 
oregon 	22D02S 
oregon 	20E02S 
oregon 	21D14S 
oregon 	20G06S 
oregon 	22F05S 
oregon 	21D04S 
oregon 	22F43S 
oregon 	18F01S 
oregon 	23D01S 
oregon 	22F04S 
oregon 	21E05S 
oregon 	17D08S 
oregon 	23D02S 
oregon 	22G33S 
oregon 	21F12S 
oregon 	18G01S 
oregon 	22E11S 
oregon 	19F01S 
oregon 	22D03S 
oregon 	19E07S 
oregon 	20G09S 
oregon 	20G02S 
oregon 	22F14S 
oregon 	21G17S 
oregon 	21G16S 
oregon 	21G03S 
oregon 	17D07S 
oregon 	21E13S 
oregon 	18E09S 
oregon 	22F45S 
oregon 	18D21S 
south_dakota	03E03S 
south_dakota	03E05S 
utah 	12M26S 
utah 	10J17S 
utah 	11K13S 
utah 	11J46S 
utah 	11H08S 
utah 	11H30S 
utah 	12L07S 
utah 	11L04S 
utah 	10J22S 
utah 	12L04S 
utah 	12M14S 
utah 	11J57S 
utah 	10J30S 
utah 	11K31S 
utah 	10J23 
utah 	09M01S 
utah 	11H37S 
utah 	10J06S 
utah 	09M02S 
utah 	11J70S 
utah 	12M13S 
utah 	11J01S 
utah 	11J02S 
utah 	10J43S 
utah 	11M06S 
utah 	11K21S 
utah 	11K22S 
utah 	11J32S 
utah 	11J23S 
utah 	11K15S 
utah 	11L05S 
utah 	11H55S 
utah 	12J09S 
utah 	09K01S 
utah 	10J21S 
utah 	11J11S 
utah 	11J12S 
utah 	11L01S 
utah 	11L03S 
utah 	10J26S 
utah 	11H07S 
utah 	13M07S 
utah 	13H05S 
utah 	11L12S 
utah 	11L02S 
utah 	13M06S 
utah 	11J37S 
utah 	12M05S 
utah 	10J44S 
utah 	10J24 
utah 	10J04S 
utah 	09J08S 
utah 	10J01S 
utah 	11H21S 
utah 	10K01S 
utah 	12L20S 
utah 	11H31S 
utah 	12L06S 
utah 	09J01S 
utah 	11H01S 
utah 	13M05S 
utah 	10J10S 
utah 	10J12S 
utah 	10J25S 
utah 	09L03S 
utah 	11H59S 
utah 	10J35S 
utah 	11H25S 
utah 	13M04S 
utah 	13M02S 
utah 	12M06S 
utah 	11J64S 
utah 	11H32S 
utah 	11J69S 
utah 	11K03S 
utah 	12L12S 
utah 	12M23S 
utah 	11J65S 
utah 	12J07S 
utah 	11H57S 
utah 	09J05S 
utah 	12K02S 
utah 	12M07S 
utah 	11J52S 
utah 	11J68S 
utah 	11K52S 
utah 	11K39S 
utah 	12L15S 
utah 	11K28S 
utah 	10J18S 
utah 	12J06S 
utah 	11K09S 
utah 	11J53S 
utah 	11J42S 
utah 	10J55S 
utah 	12L05S 
utah 	10J20S 
utah 	11J08S 
utah 	11H58S 
utah 	11J56S 
utah 	10K06S 
utah 	11J21S 
utah 	11H36S 
utah 	11H03S 
utah 	10J52S 
utah 	09J16S 
utah 	11H60S 
utah 	12K01S 
utah 	12M03S 
utah 	10K02S 
utah 	11M03S 
washington 	21B48S 
washington 	21A01S 
washington 	20B02S 
washington 	21A28S 
washington 	23B18S 
washington 	21C38S 
